Species,Kingdom,Phylum,Class,Order,Family ,db,db_code,Body Length,Unit,Measurement Type,Metric,Number of Individuals,Sex,Age,Lifestage,Level,Searched By,Notes,Citation,Link,Time Searched
Abronia pogonantha,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Nyctaginaceae,gbif,GBIF:5384868,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Abronia umbellata,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Nyctaginaceae,gbif,GBIF:5384870,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Abronia villosa,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Nyctaginaceae,gbif,GBIF:5384880,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Faidherbia albida,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,gbif,GBIF:7751817,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Senegalia ataxacantha,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,gbif,GBIF:7510932,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Senegalia macrostachya,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,gbif,GBIF:7936172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Vachellia nilotica,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,gbif,GBIF:10702004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Vachellia tortilis,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,gbif,GBIF:3974700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Senegalia senegal,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,gbif,GBIF:10839062,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Vachellia seyal,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,gbif,GBIF:3974722,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Acaena argentea,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,gbif,GBIF:5370675,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Acaena magellanica,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,gbif,GBIF:5370832,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Acamptopappus shockleyi,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,gbif,GBIF:3113876,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Acamptopappus sphaerocephalus,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,gbif,GBIF:3113874,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Acanthomintha ilicifolia,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,gbif,GBIF:2927083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Acanthomintha lanceolata,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,gbif,GBIF:2927082,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Acanthoscyphus parishii,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Polygonaceae,gbif,GBIF:6391746,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Achillea distans,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,gbif,GBIF:3120264,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Achillea fragrantissima,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,gbif,GBIF:3120394,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Achillea moschata,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,gbif,GBIF:9536147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Achillea nana,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,gbif,GBIF:8714852,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Achillea virescens,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,gbif,GBIF:3120197,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Achlys triphylla,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Berberidaceae,gbif,GBIF:5371714,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Achnatherum calamagrostis,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,gbif,GBIF:4142326,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Manilkara zapota,Plantae,Tracheophyta,Magnoliopsida,Ericales,Sapotaceae,gbif,GBIF:2885158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Achyrachaena mollis,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,gbif,GBIF:3101208,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Achyrocline alata,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,gbif,GBIF:3139547,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Achyronychia cooperi,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Caryophyllaceae,gbif,GBIF:3085617,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Acmispon americanus,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,gbif,GBIF:2975816,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Acmispon argophyllus,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,gbif,GBIF:6372365,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Acmispon argyraeus,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,gbif,GBIF:6372362,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Acmispon brachycarpus,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,gbif,GBIF:2975809,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Acmispon dendroideus,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,gbif,GBIF:6372357,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Acmispon denticulatus,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,gbif,GBIF:2975805,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Acmispon nudatus,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,gbif,GBIF:3908008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Acmispon grandiflorus,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,gbif,GBIF:6372350,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Acmispon haydonii,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,gbif,GBIF:3908093,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Acmispon heermannii,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,gbif,GBIF:10732853,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Acmispon junceus,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,gbif,GBIF:6372335,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Acmispon maritimus,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,gbif,GBIF:2975785,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Acmispon micranthus,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,gbif,GBIF:3908036,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Acmispon nevadensis,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,gbif,GBIF:10721565,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Acmispon decumbens,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,gbif,GBIF:10721565,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Acmispon parviflorus,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,gbif,GBIF:2975796,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Acmispon procumbens,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,gbif,GBIF:6372312,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Acmispon rigidus,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,gbif,GBIF:3907980,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Acmispon strigosus,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,gbif,GBIF:7529240,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Acmispon wrangelianus,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,gbif,GBIF:2975801,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Aconitum degenii,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Ranunculaceae,gbif,GBIF:7276905,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Aconogonon davisiae,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Polygonaceae,gbif,GBIF:9034333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Aconogonon hookeri,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Polygonaceae,gbif,GBIF:9060115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Koenigia hookeri,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Polygonaceae,gbif,GBIF:9060115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Polygonum phytolaccifolium,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Polygonaceae,gbif,GBIF:8155922,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Aconogonon phytolaccifolium,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Polygonaceae,gbif,GBIF:8155922,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Perezia microcephala,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,gbif,GBIF:5388156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Actaea pachypoda,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Ranunculaceae,gbif,GBIF:5371705,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Actaea sp.,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Ranunculaceae,Bioshifts_v2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Adansonia digitata,Plantae,Tracheophyta,Magnoliopsida,Malvales,Malvaceae,gbif,GBIF:5406695,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Adenium obesum,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,gbif,GBIF:7155887,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Adenophyllum cooperi,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,gbif,GBIF:3132223,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Adenostyles glabra,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,gbif,GBIF:3133705,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Adiantum aleuticum,Plantae,Tracheophyta,Polypodiopsida,Polypodiales,Pteridaceae,gbif,GBIF:2651843,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Adiantum jordanii,Plantae,Tracheophyta,Polypodiopsida,Polypodiales,Pteridaceae,gbif,GBIF:8087456,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Adiantum pedatum,Plantae,Tracheophyta,Polypodiopsida,Polypodiales,Pteridaceae,gbif,GBIF:2651832,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Adolphia californica,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rhamnaceae,gbif,GBIF:5372475,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Aegilops geniculata,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,gbif,GBIF:5289781,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Aegilops neglecta,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,gbif,GBIF:4138080,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Aegopodium podagraria,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,gbif,GBIF:3034620,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Aesculus flava,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Sapindaceae,gbif,GBIF:7777692,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Aesculus glabra,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Sapindaceae,gbif,GBIF:3189806,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Aesculus sp.,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Sapindaceae,Bioshifts_v1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Afraegle paniculata,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Rutaceae,gbif,GBIF:3835111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Pericopsis laxiflora,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,gbif,GBIF:2940390,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Halogeton alopecuroides,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,gbif,GBIF:3760320,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Agave schottii,Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,gbif,GBIF:2766574,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Agave sisalana,Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,gbif,GBIF:2766636,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Ageratina occidentalis,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,gbif,GBIF:5400196,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Agoseris heterophylla,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,gbif,GBIF:3092890,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Agoseris monticola,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,gbif,GBIF:3092895,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Agoseris parviflora,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,gbif,GBIF:8132316,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Agoseris retrorsa,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,gbif,GBIF:3092901,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Agrimonia procera,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,gbif,GBIF:3002121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Thinopyrum pungens,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,gbif,GBIF:7769117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Agrostis blasdalei,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,gbif,GBIF:2706514,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Agrostis curtisii,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,gbif,GBIF:4124303,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Agrostis delicatula,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,gbif,GBIF:4124133,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Agrostis densiflora,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,gbif,GBIF:2706485,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Agrostis elliottiana,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,gbif,GBIF:2706552,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Agrostis hallii,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,gbif,GBIF:2706502,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Agrostis humilis,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,gbif,GBIF:2706496,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Agrostis magellanica,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,gbif,GBIF:9325982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Agrostis microphylla,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,gbif,GBIF:2706510,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Agrostis oregonensis,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,gbif,GBIF:2706472,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Agrostis agrostiflora,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,gbif,GBIF:4127117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Agrostis schraderiana,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,gbif,GBIF:4127117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Agrostis variabilis,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,gbif,GBIF:2706456,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Ailanthus altissimus,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Simaroubaceae,gbif,GBIF:3190653,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Ailanthus altissima,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Simaroubaceae,gbif,GBIF:3190653,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Agrostis elegans,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,gbif,GBIF:7948459,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Aira elegans,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,gbif,GBIF:7948459,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Ajuga chamaepitys,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,gbif,GBIF:2927080,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Ajuga genevensis,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,gbif,GBIF:2927079,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Paraserianthes lophantha,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,gbif,GBIF:2943719,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Alchemilla connivens,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,gbif,GBIF:3028082,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Alchemilla filicaulis,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,gbif,GBIF:3027485,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Alchemilla flabellata,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,gbif,GBIF:3027735,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Alchemilla glabra,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,gbif,GBIF:3027640,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Alchemilla glaucescens,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,gbif,GBIF:3027452,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Alchemilla nitida,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,gbif,GBIF:3028580,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Alchemilla strigosula,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,gbif,GBIF:9630454,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Alchemilla xanthochlora,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,gbif,GBIF:3028198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Alchornea sp.,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Euphorbiaceae,Bioshifts_v1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Aliciella latifolia,Plantae,Tracheophyta,Magnoliopsida,Ericales,Polemoniaceae,gbif,GBIF:7131030,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Aliciella leptomeria,Plantae,Tracheophyta,Magnoliopsida,Ericales,Polemoniaceae,gbif,GBIF:4056583,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Alisma lanceolatum,Plantae,Tracheophyta,Liliopsida,Alismatales,Alismataceae,gbif,GBIF:2865125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Alisma plantago-aquatica,Plantae,Tracheophyta,Liliopsida,Alismatales,Alismataceae,gbif,GBIF:2865100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Alisma triviale,Plantae,Tracheophyta,Liliopsida,Alismatales,Alismataceae,gbif,GBIF:2865140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Alkanna orientalis,Plantae,Tracheophyta,Magnoliopsida,Boraginales,Boraginaceae,gbif,GBIF:7295030,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Allenrolfea occidentalis,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,gbif,GBIF:3083574,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Allionia incarnata,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Nyctaginaceae,gbif,GBIF:5384861,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Allium amplectens,Plantae,Tracheophyta,Liliopsida,Asparagales,Amaryllidaceae,gbif,GBIF:2857894,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Allium atrorubens,Plantae,Tracheophyta,Liliopsida,Asparagales,Amaryllidaceae,gbif,GBIF:2855926,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Allium bisceptrum,Plantae,Tracheophyta,Liliopsida,Asparagales,Amaryllidaceae,gbif,GBIF:2856600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Allium burlewii,Plantae,Tracheophyta,Liliopsida,Asparagales,Amaryllidaceae,gbif,GBIF:2857286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Allium campanulatum,Plantae,Tracheophyta,Liliopsida,Asparagales,Amaryllidaceae,gbif,GBIF:2856719,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Allium carinatum,Plantae,Tracheophyta,Liliopsida,Asparagales,Amaryllidaceae,gbif,GBIF:2855968,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Allium cratericola,Plantae,Tracheophyta,Liliopsida,Asparagales,Amaryllidaceae,gbif,GBIF:2857370,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Allium crispum,Plantae,Tracheophyta,Liliopsida,Asparagales,Amaryllidaceae,gbif,GBIF:2857315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Allium falcifolium,Plantae,Tracheophyta,Liliopsida,Asparagales,Amaryllidaceae,gbif,GBIF:2857472,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Allium fimbriatum,Plantae,Tracheophyta,Liliopsida,Asparagales,Amaryllidaceae,gbif,GBIF:2856831,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Allium haematochiton,Plantae,Tracheophyta,Liliopsida,Asparagales,Amaryllidaceae,gbif,GBIF:2857741,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Allium howellii,Plantae,Tracheophyta,Liliopsida,Asparagales,Amaryllidaceae,gbif,GBIF:2856788,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Allium hyalinum,Plantae,Tracheophyta,Liliopsida,Asparagales,Amaryllidaceae,gbif,GBIF:2856588,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Allium lacunosum,Plantae,Tracheophyta,Liliopsida,Asparagales,Amaryllidaceae,gbif,GBIF:2857752,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Allium lemmonii,Plantae,Tracheophyta,Liliopsida,Asparagales,Amaryllidaceae,gbif,GBIF:2857108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Allium macranthum,Plantae,Tracheophyta,Liliopsida,Asparagales,Amaryllidaceae,gbif,GBIF:2857661,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Allium membranaceum,Plantae,Tracheophyta,Liliopsida,Asparagales,Amaryllidaceae,gbif,GBIF:2856106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Allium senescens,Plantae,Tracheophyta,Liliopsida,Asparagales,Amaryllidaceae,gbif,GBIF:7894692,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Allium monticola,Plantae,Tracheophyta,Liliopsida,Asparagales,Amaryllidaceae,gbif,GBIF:2856950,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Allium nevadense,Plantae,Tracheophyta,Liliopsida,Asparagales,Amaryllidaceae,gbif,GBIF:2856006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Allium obtusum,Plantae,Tracheophyta,Liliopsida,Asparagales,Amaryllidaceae,gbif,GBIF:2857338,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Allium ericetorum,Plantae,Tracheophyta,Liliopsida,Asparagales,Amaryllidaceae,gbif,GBIF:2855733,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Allium parishii,Plantae,Tracheophyta,Liliopsida,Asparagales,Amaryllidaceae,gbif,GBIF:2856919,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Allium parryi,Plantae,Tracheophyta,Liliopsida,Asparagales,Amaryllidaceae,gbif,GBIF:2856852,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Allium parvum,Plantae,Tracheophyta,Liliopsida,Asparagales,Amaryllidaceae,gbif,GBIF:2856693,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
